episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
305,621,414,105.32000000000001,
310,346,314,103.35000000000001,
315,344,306,103.82,
320,375,314,105.97,
325,368,283,104.03999999999999,
330,350,294,103.95,
335,354,309,105.89,
340,354,306,107.61,
345,379,324,103.85,
350,354,306,106.83,
355,356,304,105.28,
360,348,295,105.13,
365,349,291,103.88000000000001,
370,349,286,103.41000000000001,
375,332,314,103.17,
380,330,306,103.99,
385,366,304,105.93,
390,345,305,106.4,
395,353,293,107.50999999999999,
400,376,309,101.84,
405,345,305,104.14,
410,385,301,104.65,
415,347,290,102.82000000000001,
420,368,304,103.39999999999999,
425,332,292,102.78,
430,321,296,100.08999999999999,
435,349,289,106.17999999999999,
440,358,290,102.63,
445,357,309,103.61,
450,352,287,103.72000000000001,
455,332,298,101.47,
460,347,298,103.53,
465,332,300,104.39,
470,339,303,101.88,
475,356,294,106.16,
480,351,294,105.14,
485,349,304,101.28,
490,351,295,101.44,
495,342,279,101.86,
500,359,291,104.36,
505,358,294,101.69,
510,371,302,102.0,
515,353,284,103.69,
520,342,305,103.83,
525,357,308,103.14,
530,329,286,101.46,
535,359,310,104.37,
540,339,281,101.06,
545,346,283,102.39,
550,344,283,101.65,
555,352,296,99.76,
560,356,283,102.02999999999999,
565,368,295,100.21,
570,358,282,99.66,
575,352,298,101.19,
580,373,304,100.16,
585,350,286,103.12,
590,355,276,104.58999999999999,
595,360,291,101.7,
600,362,275,101.84,
605,367,271,100.24,
610,357,285,102.36,
615,365,287,101.34,
620,376,289,100.2,
625,347,293,98.89,
630,329,283,103.03,
635,332,285,102.84,
640,337,282,101.89999999999999,
645,320,280,104.53999999999999,
650,347,276,104.57,
655,353,267,100.64,
660,361,277,100.76,
665,340,291,100.19,
670,350,278,102.61,
675,347,289,101.26,
680,353,292,101.46,
685,376,268,102.02,
690,358,278,99.87,
695,339,272,101.4,
700,358,277,98.55,
705,354,291,101.49,
710,344,268,99.32000000000001,
715,338,259,99.97,
720,347,268,101.34,
725,356,293,99.76,
730,348,257,105.33,
735,362,279,100.36,
740,357,262,103.56,
745,345,277,103.53,
750,346,267,100.11,
755,339,263,99.61,
760,340,273,98.8,
765,364,257,104.79,
770,360,275,102.52,
775,357,267,100.9,
780,348,252,99.39999999999999,
785,355,277,100.19,
790,349,275,101.28,
795,362,283,101.89999999999999,
800,375,265,100.76,
805,362,241,99.21,
810,353,259,100.86,
815,351,262,99.13000000000001,
820,349,262,101.34,
825,347,251,101.94,
